Title,DOI,Points
Coexistence in diverse communities with higher-order interactions,https://doi.org/10.1073/pnas.2205063119,0
Higher Order Interaction Effects in Weakly Localized Regime: Case of Repulsive Force,https://doi.org/10.1143/jpsj.53.1415,0
Higher order interaction energies for systems of asymmetric molecules,https://doi.org/10.1080/00268977100102361,0
Detecting and interpreting higher‐order interactions in ecological communities,https://doi.org/10.1111/ele.14022,0
Higher-order interaction-induced effects on the allowed Raman spectra of liquid CS2,https://doi.org/10.1063/1.455381,0
Higher-order interactions can better optimize network synchronization,https://doi.org/10.1103/physrevresearch.3.043193,0
Higher-order interactions promote chimera states,https://doi.org/10.1103/physreve.105.l042202,0
Simultaneous silence organizes structured higher-order interactions in neural populations,https://doi.org/10.1038/srep09821,0
Detecting informative higher-order interactions in statistically validated hypergraphs,https://doi.org/10.1038/s42005-021-00710-4,0
Intralayer and interlayer synchronization in multiplex network with higher-order interactions,https://doi.org/10.1063/5.0074641,0
Symmetry-conserving higher-order interaction terms in the interacting boson model,https://doi.org/10.1103/physrevc.32.1049,0
Higher-Order Interactions Dampen Pairwise Competition in the Zebrafish Gut Microbiome,https://doi.org/10.1128/mbio.01667-20,0
Higher-order interactions bridge the nitric oxide receptor and catalytic domains of soluble guanylate cyclase,https://doi.org/10.1073/pnas.1301934110,0
Fermions on the antibrane: Higher order interactions and spontaneously broken supersymmetry,https://doi.org/10.1103/physrevd.95.026003,0
Multigroup SIS Epidemics With Simplicial and Higher Order Interactions,https://doi.org/10.1109/tcns.2021.3124269,0
Interpreting higher order interactions in log-linear analysis.,https://doi.org/10.1037/0033-2909.103.1.121,0
A note on Lancaster's definition of higher-order interactions,https://doi.org/10.1093/biomet/62.2.375,0
Thomas-Fermi approximation for a condensate with higher-order interactions,https://doi.org/10.1103/physreva.80.043625,0
Stability of a Bose-Einstein condensate with higher-order interactions near a Feshbach resonance,https://doi.org/10.1103/physreva.80.023607,0
Higher-order glass-transition singularities in colloidal systems with attractive interactions,https://doi.org/10.1103/physreve.63.011401,0
XGI: A Python package for higher-order interaction networks,https://doi.org/10.21105/joss.05162,0
Spectrum of extensive multiclusters in the Kuramoto model with higher-order interactions,https://doi.org/10.1103/physrevresearch.3.013013,0
Using R formulae to test for main effects in the presence of higher-order interactions,https://doi.org/10.48550/arxiv.1405.2094,0
Memory selection and information switching in oscillator networks with higher-order interactions,https://doi.org/10.1088/2632-072x/abbd4c,0
Dynamics on networks with higher-order interactions,https://doi.org/10.1063/5.0151265,0
Individual Behavior and Higher-Order Species Interactions,https://doi.org/10.1086/285395,0
Higher Order Interactions in Homogeneous Turbulence Theory,https://doi.org/10.1063/1.1705897,0
Tiered synchronization in Kuramoto oscillators with adaptive higher-order interactions,https://doi.org/10.1063/5.0150125,0
Higher-order Interaction Goes Neural: A Substructure Assembling Graph Attention Network for Graph Classification,https://doi.org/10.1109/tkde.2021.3105544,0
Multi-population phase oscillator networks with higher-order interactions,https://doi.org/10.1007/s00030-022-00796-x,0
Higher-Order Interactions: Understanding the knowledge capacity of social groups using simplicial sets,https://doi.org/10.1093/czoolo/61.1.114,0
Higher order interaction of elastic waves in weakly nonlinear hollow circular cylinders. II. Physical interpretation and numerical results,https://doi.org/10.1063/1.4879460,0
Higher order interactions destroy phase transitions in Deffuant opinion dynamics model,https://doi.org/10.1038/s42005-022-00807-4,0
Higher order interactions in molecular collisions,https://doi.org/10.1063/1.453222,0
Controlling species densities in structurally perturbed intransitive cycles with higher-order interactions,https://doi.org/10.1063/5.0102599,0
Using biological knowledge to discover higher order interactions in genetic association studies,https://doi.org/10.1002/gepi.20542,0
Non-linear consensus dynamics on temporal hypergraphs with random noisy higher-order interactions,https://doi.org/10.1093/comnet/cnad009,0
Evolution of Cooperation in the Presence of Higher-Order Interactions: From Networks to Hypergraphs,https://doi.org/10.3390/e22070744,0
Higher order interaction of elastic waves in weakly nonlinear hollow circular cylinders. I. Analytical foundation,https://doi.org/10.1063/1.4879459,0
Higher-order interactions in Kuramoto oscillators with inertia,https://doi.org/10.1103/physreve.108.024215,0
Learning from Group Comparisons: Exploiting Higher Order Interactions,,0
Identifying critical higher-order interactions in complex networks,https://doi.org/10.1038/s41598-021-00017-y,0
Dynamical instability of a Bose-Einstein condensate with higher-order interactions in an optical potential through a variational approach,https://doi.org/10.1103/physreve.89.052917,0
A Bayesian Multilocus Association Method: Allowing for Higher-Order Interaction in Association Studies,https://doi.org/10.1534/genetics.107.071696,0
Reconstructing higher-order interactions in coupled dynamical systems,https://doi.org/10.1038/s41467-024-49278-x,0
Mechanisms underlying higher order interactions: from quantitative definitions to ecological processes,https://doi.org/10.1101/857920,0
Desynchrony induced by higher-order interactions in triplex metapopulations,https://doi.org/10.1103/physreve.108.054208,0
Higher-order interactions mitigate direct negative effects on population dynamics of herbaceous plants during succession,https://doi.org/10.1088/1748-9326/ab8a88,0
On the Persistence of Higher-Order Interactions in Real-World Hypergraphs,https://doi.org/10.1137/1.9781611977172.19,0
The stability condition and collective excitation of a trapped Bose–Einstein condensate with higher-order interactions,https://doi.org/10.1088/0953-4075/46/17/175301,0
The Distribution of Higher-Order Interactions in Contingency Tables,https://doi.org/10.1111/j.2517-6161.1980.tb01136.x,0
First-order transition to oscillation death in coupled oscillators with higher-order interactions,https://doi.org/10.1103/physreve.108.044207,0
Multistability in coupled oscillator systems with higher-order interactions and community structure,https://doi.org/10.1063/5.0106906,0
Higher order interactions and coexistence theory,https://doi.org/10.1101/748517,0
Hybrid analysis of reflector antennas including higher order interactions and blockage effects,https://doi.org/10.1109/tap.2002.803952,0
Attend and Interact: Higher-Order Object Interactions for Video Understanding,https://doi.org/10.1109/cvpr.2018.00710,0
Higher-order interactions in statistical physics and machine learning: A model-independent solution to the inverse problem at equilibrium,https://doi.org/10.1103/physreve.102.053314,0
Perfect synchronization in complex networks with higher-order interactions,https://doi.org/10.1103/physreve.108.024304,0
The effect of higher-order interactions on configurational properties of polymer chains at the Θ state,https://doi.org/10.1021/ma00196a050,0
"Breather-to-soliton transitions, nonlinear wave interactions, and modulational instability in a higher-order generalized nonlinear Schrödinger equation",https://doi.org/10.1103/physreve.93.012214,0
Dipolar and higher order interactions in ferroelectric tscc,https://doi.org/10.1080/00150199208230031,0
Weak Higher-Order Interactions in Macroscopic Functional Networks of the Resting Brain,https://doi.org/10.1523/jneurosci.0451-17.2017,0
Soliton dynamics for trapped Bose-Einstein condensate with higher-order interaction,https://doi.org/10.1063/1.4999336,0
"Sequence Specificity in the Higher-Order Interaction of the Rev Protein of HIV-1 with its Target Sequence, the RRE",https://doi.org/10.1097/00042560-199511000-00003,0
Interplay of three-body and higher-order interactions on the modulational instability of Bose–Einstein condensate,https://doi.org/10.1364/josab.395007,0
Information Propagation in Multilayer Systems with Higher-Order Interactions across Timescales,https://doi.org/10.1103/physrevx.14.021007,0
Diluted-neural-network model with higher-order interactions,https://doi.org/10.1103/physreva.43.7083,0
Opinion Dynamics Incorporating Higher-Order Interactions,https://doi.org/10.1109/icdm50108.2020.00189,0
Learning connectivity and higher-order interactions in radial distribution grids,https://doi.org/10.1109/icassp40776.2020.9054665,0
Nonparametric Modeling of Higher-Order Interactions via Hypergraphons,https://doi.org/10.48550/arxiv.2105.08678,0
Higher-order interactions induce anomalous transitions to synchrony,https://doi.org/10.1063/5.0176748,0
Solitons in One-Dimensional Bose–Einstein Condensate with Higher-Order Interactions,https://doi.org/10.1088/0253-6102/68/5/623,0
Higher‐Order Interactions in Quantum Optomechanics: Revisiting Theoretical Foundations,https://doi.org/10.3390/app7070656,0
Higher-Order Interactions in Quantum Optomechanics: Analytical Solution of Nonlinearity,https://doi.org/10.3390/photonics4040048,0
Higher-order interaction learning of line failure cascading in power networks,https://doi.org/10.1063/5.0089780,0
Investigating higher order interactions in single cell data with scHOT,https://doi.org/10.1101/841593,0
Tunneling dynamics of Bose—Einstein condensates with higher-order interactions in optical lattice,https://doi.org/10.1088/1674-1056/20/12/120311,0
Effective action approach to higher-order relativistic tidal interactions in binary systems and their effective one body description,https://doi.org/10.1103/physrevd.85.124034,0
Synchronization onset for contrarians with higher-order interactions in multilayer systems,https://doi.org/10.1063/5.0166627,0
Can higher-order interactions resolve the species coexistence paradox?,https://doi.org/10.1101/2023.06.19.545649,0
Multitrophic Higher-Order Interactions Modulate Species Persistence,https://doi.org/10.1086/729222,0
Tiered synchronization in coupled oscillator populations with interaction delays and higher-order interactions,https://doi.org/10.1063/5.0086305,0
Higher-order interaction inhibits bacterial invasion of a phototroph-predator microbial community,https://doi.org/10.1101/564260,0
Role of higher-order exchange interactions for skyrmion stability,https://doi.org/10.1038/s41467-020-18473-x,0
Higher‐order interactions of <scp>Bcr‐Abl</scp> can broaden chronic myeloid leukemia (CML) drug repertoire,https://doi.org/10.1002/pro.4504,0
Revealing Higher-Order Interactions in High-Dimensional Complex Systems: A Data-Driven Approach,https://doi.org/10.1103/physrevx.14.011050,0
Coexistence in diverse communities with higher-order interactions,https://doi.org/10.1101/2022.03.04.483022,0
Impact of phase lag on synchronization in frustrated Kuramoto model with higher-order interactions,https://doi.org/10.1103/physreve.108.034208,0
Higher order multipole three-body van der Waals interactions and stability of rare gas solids,https://doi.org/10.1088/0022-3719/4/3/006,0
Tracking Objects with Higher Order Interactions using Delayed Column Generation,https://doi.org/10.48550/arxiv.1512.02413,0
Nano-scale collinear multi-Q states driven by higher-order interactions,https://doi.org/10.1038/s41467-022-33383-w,0
Nuclear Magnetic Resonance Secondary Shifts of a Light-Harvesting 2 Complex Reveal Local Backbone Perturbations Induced by Its Higher-Order Interactions,https://doi.org/10.1021/bi9016236,0
Prolonged hysteresis in the Kuramoto model with inertia and higher-order interactions,https://doi.org/10.1103/physreve.109.024212,0
Soliton interaction in the higher-order nonlinear Schrödinger equation investigated with Hirota's bilinear method,https://doi.org/10.1103/physreve.77.066605,0
Hybrid balance theory: Heider balance under higher-order interactions,https://doi.org/10.1103/physreve.105.054105,0
Mean-field regime and Thomas–Fermi approximations of trapped Bose–Einstein condensates with higher-order interactions in one and two dimensions,https://doi.org/10.1088/0953-4075/49/12/125304,0
Aromatic Interactions Promote Self-Association of Collagen Triple-Helical Peptides to Higher-Order Structures,https://doi.org/10.1021/bi900496m,0
Prevalence and patterns of higher-order drug interactions in Escherichia coli,https://doi.org/10.1038/s41540-018-0069-9,0
The Impact of Higher-Order Interactions on the Synchronization of Hindmarsh–Rose Neuron Maps under Different Coupling Functions,https://doi.org/10.3390/math11132811,0
Higher-order interaction energies for a system of <i>N</i> arbitrary molecules in the light of spherical tensor theory,https://doi.org/10.1063/1.526986,0
Network dynamics with higher-order interactions: coupled cell hypernetworks for identical cells and synchrony,https://doi.org/10.1088/1361-6544/ace39f,0
Computing Ground States of Bose--Einstein Condensates with Higher Order Interaction via a Regularized Density Function Formulation,https://doi.org/10.1137/19m1240393,0
Generating functions for higher-order interaction terms in the IBA Hamiltonian,https://doi.org/10.1088/0305-4470/20/15/020,0
New γ-soft rotation in the interacting boson model with SU(3) higher-order interactions *,https://doi.org/10.1088/1674-1137/ac5cb0,0
Weak interactions in higher-order chromatin organization,https://doi.org/10.1093/nar/gkaa261,0
Influence of symmetry-conserving higher order interactions in the interacting boson model on the first β and γ band in rotational nuclei,https://doi.org/10.1103/physrevc.41.2380,0
Rotating clusters in phase-lagged Kuramoto oscillators with higher-order interactions,https://doi.org/10.1103/physreve.109.034211,0
Higher-Order Interactions in Quantum Optomechanics: Analysis of Quadratic Terms,https://doi.org/10.1038/s41598-018-35055-6,0
Distributed Consensus Control of Multi-agent Systems with Higher Order Agent Dynamics and Dynamically Changing Directed Interaction Topologies,https://doi.org/10.1109/tac.2015.2444211,0
Understanding Higher-Order Interactions in Information Space,https://doi.org/10.3390/e26080637,0
Tracking Objects with Higher Order Interactions using Delayed Column Generation,,0
Surprising effects of cascading higher order interactions,https://doi.org/10.1038/s41598-022-23763-z,0
When can higher‐order interactions produce stable coexistence?,https://doi.org/10.1111/ele.14458,0
Evolutionary Dynamics of Higher-Order Interactions.,,0
"Phase Oscillator Networks with Nonlocal Higher-Order Interactions: Twisted States, Stability, and Bifurcations",https://doi.org/10.1137/22m1500940,0
On the discriminating power of passivation and higher-order interaction,https://doi.org/10.1145/2603088.2603113,0
Higher-order interactions and emergent properties of microbial communities: The power of synthetic ecology,https://doi.org/10.1016/j.heliyon.2024.e33896,0
Chimeric states induced by higher-order interactions in coupled prey–predator systems,https://doi.org/10.1063/5.0213288,0
Higher-order auditory areas in congenital deafness: Top-down interactions and corticocortical decoupling,https://doi.org/10.1016/j.heares.2016.08.017,0
"Modulational instability, higher-order localized wave structures, and nonlinear wave interactions for a nonautonomous Lenells-Fokas equation in inhomogeneous fibers",https://doi.org/10.1063/1.4922025,0
Prophage mediated control of higher order interactions - insights from systems approaches,https://doi.org/10.32942/x2zk52,0
Validation of Higher-Order Interactional Aerodynamics Simulations on Full Helicopter Configurations,https://doi.org/10.4050/jahs.64.042002,0
Hyperedge overlap drives explosive collective behaviors in systems with higher-order interactions,https://doi.org/10.48550/arxiv.2307.03519,0
Dynamic Graph Modules for Modeling Higher-Order Interactions in Activity Recognition.,,0
A Methodology for the Analysis of Collaboration Networks with Higher-Order Interactions,https://doi.org/10.3390/math11102265,0
Modeling Higher-Order Interactions in Complex Networks by Edge Product of Graphs,https://doi.org/10.1093/comjnl/bxab070,0
A Moment-Based Maximum Entropy Model for Fitting Higher-Order Interactions in Neural Data,https://doi.org/10.3390/e20070489,0
Solitary death in coupled limit cycle oscillators with higher-order interactions,https://doi.org/10.1103/physreve.108.l062201,0
Social ageing and higher-order interactions: social selectiveness can enhance older individuals’ capacity to transmit knowledge,https://doi.org/10.1098/rstb.2022.0461,0
"Explaining Local, Global, And Higher-Order Interactions In Deep Learning",https://doi.org/10.1109/iccv48922.2021.00126,0
Higher-order-in-spin interaction Hamiltonians for binary black holes from Poincaré invariance,https://doi.org/10.1103/physrevd.78.124004,0
Higher-order scalar interactions and SM vacuum stability,https://doi.org/10.1007/jhep05(2014)119,0
Clustering coefficients for networks with higher order interactions,https://doi.org/10.1063/5.0188246,0
Effect of higher-order interactions on chimera states in two populations of Kuramoto oscillators,https://doi.org/10.1063/5.0181279,0
Connecting higher‐order interactions with ecological stability in experimental aquatic food webs,https://doi.org/10.1002/ece3.10502,0
Conical Spin-Spiral State in an Ultrathin Film Driven by Higher-Order Spin Interactions,https://doi.org/10.1103/physrevlett.108.087205,0
HIGHER ORDER INTERACTIONS: PRODUCT AND CONFIGURATION STUDY ON DSM SATURATION,,0
Networked dynamic systems with higher-order interactions: stability versus complexity,https://doi.org/10.1093/nsr/nwae103,0
Hyperedge overlap drives explosive transitions in systems with higher-order interactions,https://doi.org/10.1038/s41467-024-55506-1,0
Perspective: Measurements and Analyses of Nonlinear Wave Interactions With Higher-Order Spectral Moments,https://doi.org/10.1115/1.2819116,0
Hopf bifurcations of twisted states in phase oscillators rings with nonpairwise higher-order interactions,https://doi.org/10.1088/2632-072x/ad5635,0
Linear Opinion Dynamics Model With Higher Order Interactions,https://doi.org/10.1109/tcss.2023.3324144,0
"Gaussian-2 theory: Use of higher level correlation methods, quadratic configuration interaction geometries, and second-order Mo/ller–Plesset zero-point energies",https://doi.org/10.1063/1.470658,0
Nonparametric inference of higher order interaction patterns in networks,https://doi.org/10.1038/s42005-024-01736-0,0
Chiral phase transition in an extended NJL model with higher-order multi-quark interactions,https://doi.org/10.1016/j.physletb.2007.01.061,0
"Erratum: Higher order interaction-induced effects on Rayleigh light scattering by molecular liquids [J. Chem. Phys. <b>8</b> <b>7</b>, 191 (1987)]",https://doi.org/10.1063/1.457684,0
Multi-Population Phase Oscillator Networks with Higher-Order Interactions,https://doi.org/10.48550/arxiv.2012.04943,0
A Theory of Higher Order Interactions Between Sensitive Variables: Empirical Evidences and an Application to a Variety of Smoking,https://doi.org/10.1177/0049124120986203,0
Determining bifurcations to explosive synchronization for networks of coupled oscillators with higher-order interactions,https://doi.org/10.1103/physreve.109.l022202,0
Constructive Matrix Theory for Higher Order Interaction,,0
Higher-order exchange interactions leading to metamagnetism in FeRh,https://doi.org/10.1103/physrevb.92.094402,0
Discovering Higher-Order Interactions Through Neural Information Decomposition,https://doi.org/10.3390/e23010079,0
Prolate-oblate asymmetric shape phase transition in the interacting boson model with SU(3) higher-order interactions,https://doi.org/10.1103/physrevc.107.064322,0
Higher-order interactions in fitness landscapes are sparse.,,0
"Interactions, Strings and Isotopies in Higher Order Anisotropic Superspaces",https://doi.org/10.48550/arxiv.math-ph/0112056,0
Higher-Order Interactions and Their Duals Reveal Synergy and Logical Dependence beyond Shannon-Information,https://doi.org/10.3390/e25040648,0
MyD88 TIR domain higher-order assembly interactions revealed by microcrystal electron diffraction and serial femtosecond crystallography,https://doi.org/10.1038/s41467-021-22590-6,0
Shape Phase Transitions in Even–Even 176–198Pt: Higher-Order Interactions in the Interacting Boson Model,https://doi.org/10.3390/sym14122610,0
Assessment of Nonlinear Interaction Between Nonlinearly Coupled Modes Using Higher Order Spectra,https://doi.org/10.1109/tpwrs.2004.841240,0
A natural history of networks: Modeling higher-order interactions in geohistorical data,https://doi.org/10.1101/2022.09.26.509538,0
Significance of higher-order many-body interaction energy terms in water clusters and bulk water,https://doi.org/10.1080/13642819608239116,0
Higher-Order Packing Interactions in Triple and Quadruple Mutants of Staphylococcal Nuclease,https://doi.org/10.1021/bi011269d,0
Identifying Higher-Order Interactions in Wave Time-Series,https://doi.org/10.1115/1.4047930,0
Is the addition of higher-order interactions in ecological models increasing the understanding of ecological dynamics?,https://doi.org/10.1101/595140,0
Some aspects of self-consistent higher-order interactions,https://doi.org/10.1088/1742-6596/1023/1/012003,0
A Genetic Model for Understanding Higher Order Visual Processing: Functional Interactions of the Ventral Visual Stream in Williams Syndrome,https://doi.org/10.1093/cercor/bhn004,0
Vegetation isoline equations for analysis of hyper-spectral data with higher order interaction terms,https://doi.org/10.1109/igarss.2010.5648913,0
Semantics of Higher-Order Quantum Computation via Geometry of Interaction,https://doi.org/10.1109/lics.2011.26,0
Transcriptional Derepression Uncovers Cryptic Higher-Order Genetic Interactions,https://doi.org/10.1371/journal.pgen.1005606,0
"Interdependent couplings map to thermal, higher-order interactions",https://doi.org/10.48550/arxiv.2110.08907,0
Nonparametric Modeling of Higher-Order Interactions via Hypergraphons,,0
"Topological spin textures in <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mn>1</mml:mn><mml:mi>T</mml:mi></mml:mrow></mml:math> -phase Janus magnets: Interplay between Dzyaloshinskii-Moriya interaction, magnetic frustration, and isotropic higher-order interactions",https://doi.org/10.1103/physrevb.107.054408,0
Deeper but smaller: Higher-order interactions increase linear stability but shrink basins,https://doi.org/10.1126/sciadv.ado8049,0
"Understanding multimorbidity requires sign-disease networks and higher-order interactions, a perspective",https://doi.org/10.3389/fsysb.2023.1155599,0
Higher-order interaction-induced effects between strong dispersion-managed solitons with dissimilar powers,https://doi.org/10.1364/josab.34.000012,0
Combined higher-order interactions of mixed symmetry on the sphere,https://doi.org/10.1063/5.0079696,0
Direct and higher‐order interactions in plant communities under increasing weather persistence,https://doi.org/10.1111/oik.10128,0
Higher-order-effects management of soliton interactions in the Hirota equation,https://doi.org/10.1103/physreve.91.033201,0
Integrity bases for symmetry-conserving higher-order interaction terms in the interacting boson model,https://doi.org/10.1088/0305-4470/19/9/001,0
"Unified treatment of synchronization patterns in generalized networks with higher-order, multilayer, and temporal interactions",https://doi.org/10.1038/s42005-021-00695-0,0
Multi-group SIS Epidemics with Simplicial and Higher-Order Interactions,,0
Person-centred study on higher-order interactions between students’ motivational beliefs and metacognitive self-regulation: Links with school language achievement,https://doi.org/10.1371/journal.pone.0289367,0
Constructive Matrix Theory for Higher Order Interaction II: Hermitian and Real Symmetric Cases,https://doi.org/10.48550/arxiv.1910.13261,0
Higher-order interactions in quantum optomechanics,,0
Higher-Order Synaptic Interactions Coordinate Dynamics in Recurrent Networks,https://doi.org/10.1371/journal.pcbi.1005078,0
Structural interactions in ionic liquids linked to higher-order Poisson-Boltzmann equations,https://doi.org/10.1103/physreve.95.060602,0
Higher-order-in-spin interaction Hamiltonians for binary black holes from source terms of Kerr geometry in approximate ADM coordinates,https://doi.org/10.1103/physrevd.77.104001,0
Meta-analysis of three-stressor combinations on population-level fitness reveal substantial higher-order interactions,https://doi.org/10.1016/j.scitotenv.2022.161163,0
Importance of higher-order multipole transitions on chiral nearfield interactions,https://doi.org/10.1515/nanoph-2019-0046,0
Finite-size effect in Kuramoto oscillators with higher-order interactions,https://doi.org/10.1063/5.0234070,0
Interface handling for three‐dimensional higher‐order XFEM‐computations in fluid–structure interaction,https://doi.org/10.1002/nme.2600,0
Development of Higher‐Order Interaction Parameter Formalisms for a Ternary Solution in a Thermodynamically Consistent Manner,https://doi.org/10.1002/srin.202200913,0
Heteroclinic dynamics in network dynamical systems with higher-order interactions,https://doi.org/10.1093/comnet/cnae009,0
The Third Type of Chaos in a System of Adaptively Coupled Phase Oscillators with Higher-Order Interactions,https://doi.org/10.3390/math11194024,0
MassNE: Exploring Higher-Order Interactions with Marginal Effect for Massive Battle Outcome Prediction,https://doi.org/10.1145/3543507.3583390,0
Prevalence and patterns of higher-order interactions,https://doi.org/10.1101/233312,0
Higher Order Effects of Interactions in Two-Dimensional Weakly Localized Regime,https://doi.org/10.1143/jpsj.52.16,0
Dynamic Response of Composite Beams with Partial Shear Interaction Using a Higher-Order Beam Theory,https://doi.org/10.1061/(asce)st.1943-541x.0000603,0
Higher order terms of radiative damping in extreme intense laser-matter interaction,https://doi.org/10.1063/1.4739442,0
Functional requirements of AID’s higher order structures and their interaction with RNA-binding proteins,https://doi.org/10.1073/pnas.1601678113,0
Nonlinear higher order abiotic interactions explain riverine biodiversity,https://doi.org/10.1111/jbi.13164,0
Learning Higher-Order Interactions for User and Item Profiling Based on Tensor Factorization,https://doi.org/10.1145/2678025.2701369,0
Higher-Order Interactions in Auxotroph Communities Enhance Their Resilience to Resource Fluctuations,https://doi.org/10.1101/2024.05.22.595348,0
How combined pairwise and higher-order interactions shape transient dynamics,https://doi.org/10.1063/5.0238827,0
Pattern Dynamics of a Predator–Prey Model Driven by Higher-Order Interactions,https://doi.org/10.1142/s0218127424501918,0
Synchronization transitions in adaptive Kuramoto–Sakaguchi oscillators with higher-order interactions,https://doi.org/10.1063/5.0224001,0
Power to Detect Higher-Order Epistatic Interactions in a Metabolic Pathway Using a New Mapping Strategy,https://doi.org/10.1534/genetics.106.067033,0
Suppression of level fluctuation without extinction ratio degradation based on output saturation in higher order optical parametric interaction in fiber,https://doi.org/10.1109/68.917844,0
The Curie temperature of the Ising ferromagnet with higher-order exchange interaction,https://doi.org/10.1088/0022-3719/17/5/015,0
First-order transition inXYmodel with higher-order interactions,https://doi.org/10.1088/1742-6596/936/1/012016,0
Correction to: Higher order interactions and species coexistence,https://doi.org/10.1007/s12080-020-00492-5,0
An Evolutionary Analysis of Higher-Order Interaction Collaborative Innovation Networks in China’s New Energy Vehicle Industry,https://doi.org/10.3390/su151511478,0
Direct Mapping of Higher-Order RNA Interactions by SHAPE-JuMP,https://doi.org/10.1021/acs.biochem.1c00270,0
Biophysical Techniques for Characterizing the Higher Order Structure and Interactions of Monoclonal Antibodies,https://doi.org/10.1021/bk-2015-1201.ch006,0
Higher-order rogue wave solutions of the three-wave resonant interaction equation via the generalized Darboux transformation,https://doi.org/10.1088/0031-8949/90/10/105201,0
Dynamic Representation Learning with Temporal Point Processes for Higher-Order Interaction Forecasting,https://doi.org/10.1609/aaai.v37i6.25939,0
Higher-order topological superconductivity from repulsive interactions in kagome and honeycomb systems,https://doi.org/10.1088/2053-1583/ac4060,0
Vector Centrality in Networks with Higher-Order Interactions,,0
Higher-Order Corrections to Leptonic Processes and the Renormalization of Weinberg's Theory of Weak Interactions in the Unitary Gauge,https://doi.org/10.1103/physrevd.6.1701,0
Clustering coefficients for networks with higher order interactions,https://doi.org/10.48550/arxiv.2311.08563,0
The structure and dynamics of networks with higher-order interactions,https://doi.org/10.52843/cassyni.y33p9k,0
Synchronization induced by directed higher-order interactions,https://doi.org/10.48550/arxiv.2202.08707,0
A Cytokine–Cytokine Interaction in the Assembly of Higher-Order Structure and Activation of the Interleukine-3:Receptor Complex,https://doi.org/10.1371/journal.pone.0005188,0
Intraspecific variation promotes species coexistence and trait clustering through higher order interactions,https://doi.org/10.1101/494757,0
A Moment-Based Maximum Entropy Model for Fitting Higher-Order Interactions in Neural Data,https://doi.org/10.1101/353656,0
Dynamically Modelling Heterogeneous Higher-Order Interactions for Malicious Behavior Detection in Event Logs,https://doi.org/10.48550/arxiv.2103.15708,0
Temporal properties of higher-order interactions in social networks,https://doi.org/10.48550/arxiv.2010.03404,0
