Title,Abstract,DOI,Score
Parkinson Phenotype in Aged PINK1-Deficient Mice Is Accompanied by Progressive Mitochondrial Dysfunction in Absence of Neurodegeneration,"Parkinson's disease (PD) is an adult-onset movement disorder of largely unknown etiology. We have previously shown that loss-of-function mutations of the mitochondrial protein kinase PINK1 (PTEN induced putative kinase 1) cause the recessive PARK6 variant of PD.Now we generated a PINK1 deficient mouse and observed several novel phenotypes: A progressive reduction of weight and of locomotor activity selectively for spontaneous movements occurred at old age. As in PD, abnormal dopamine levels in the aged nigrostriatal projection accompanied the reduced movements. Possibly in line with the PARK6 syndrome but in contrast to sporadic PD, a reduced lifespan, dysfunction of brainstem and sympathetic nerves, visible aggregates of alpha-synuclein within Lewy bodies or nigrostriatal neurodegeneration were not present in aged PINK1-deficient mice. However, we demonstrate PINK1 mutant mice to exhibit a progressive reduction in mitochondrial preprotein import correlating with defects of core mitochondrial functions like ATP-generation and respiration. In contrast to the strong effect of PINK1 on mitochondrial dynamics in Drosophila melanogaster and in spite of reduced expression of fission factor Mtp18, we show reduced fission and increased aggregation of mitochondria only under stress in PINK1-deficient mouse neurons.Thus, aging Pink1(-/-) mice show increasing mitochondrial dysfunction resulting in impaired neural activity similar to PD, in absence of overt neuronal death.",https://doi.org/10.1371/journal.pone.0005777,0
Reduction of ER stress via a chemical chaperone prevents disease phenotypes in a mouse model of primary open angle glaucoma,"An investigation by the University Health Network recently found that portions of the RT-PCR gels shown in Figure 1, B (PGK-1 panel) and C (FGFR1 panel), are duplicated in this publication and in a subsequent publication (1).The samples were labeled differently in the panels, and the marker was shifted in Figure 1B.The corresponding author has indicated that other data from the initial screen of these samples support the conclusions made in the paper; however, the original data for the RT-PCR gels shown in Figure 1 are no longer available.The JCI's policies prohibit data manipulation and data duplication.Therefore, the JCI is retracting this article.No issues have been raised in regard to any of the other data in this manuscript.",https://doi.org/10.1172/jci82799,0
HykGene: a hybrid approach for selecting marker genes for phenotype classification using microarray gene expression data,Motivation: Recent studies have shown that microarray gene expression data are useful for phenotype classification of many diseases. A major problem in this classification is that the number of features (genes) greatly exceeds the number of instances (tissue samples). It has been shown that selecting a small set of informative genes can lead to improved classification accuracy. Many approaches have been proposed for this gene selection problem. Most of the previous gene ranking methods typically select 50–200 top-ranked genes and these genes are often highly correlated. Our goal is to select a small set of non-redundant marker genes that are most relevant for the classification task.,https://doi.org/10.1093/bioinformatics/bti192,0
Correlations Between Species Traits and Allozyme Diversity: Implications for Conservation Biology,"Abstract One goal of conservation biology is to preserve the evolutionary potential of species by maintaining natural levels of genetic diversity. Knowledge of the levels and distribution of genetic variation thus becomes a prerequisite for the establishment of effective and efficient conservation practices (Beardmore 1983; Frankel 1983; Allendorf and Leary 1986). Without such knowledge, the efforts of conservation biologists, no matter how well meaning, may not be effective (Asins and Carbonell 1987). For conservation purposes, information can best be obtained by empirically determining the level and distribution of genetic variation for morphometric and physiological traits, allozyme loci, and DNA sequences. However, since few endangered species have been studied, and since the resources for such studies are frequently limited, we must often rely on previously accumulated knowledge to make educated guesses pertaining to the genetic diversity of these species.",https://doi.org/10.1093/oso/9780195064292.003.0005,0
Epigenetics and inheritance of phenotype variation in livestock,"Epigenetic inheritance plays a crucial role in many biological processes, such as gene expression in early embryo development, imprinting and the silencing of transposons. It has recently been established that epigenetic effects can be inherited from one generation to the next. Here, we review examples of epigenetic mechanisms governing animal phenotype and behaviour, and we discuss the importance of these findings in respect to animal studies, and livestock in general. Epigenetic parameters orchestrating transgenerational effects, as well as heritable disorders, and the often-overlooked areas of livestock immunity and stress, are also discussed. We highlight the importance of nutrition and how it is linked to epigenetic alteration. Finally, we describe how our understanding of epigenetics is underpinning the latest cancer research and how this can be translated into directed efforts to improve animal health and welfare.",https://doi.org/10.1186/s13072-016-0081-5,0
"A longitudinal study of the effects of pessimism, trait anxiety, and life stress on depressive symptoms in middle-aged women.","The relative contributions of life stress, menopausal status, and pessimism and trait anxiety during the presence and absence of stress on increases in depressive symptoms across 3 years were examined in a sample of 460 premenopausal women, aged 42-50, who had few depressive symptoms at study entry. Multivariate analyses showed that after statistical adjustments for initial depressive symptoms and education, depressive symptoms at follow-up were higher among women (a) who reported stressful events, especially of a chronic nature, (b) who scored highly on trait anxiety, and (c) who were pessimistic and subsequently experienced a stressful ongoing problem. Change in menopausal status was not related to symptoms. The study confirms that midlife stress and both optimism and trait anxiety are important predictors of depressive symptoms during midlife.",https://doi.org/10.1037//0882-7974.11.2.207,0
Inhibition of GSK3β-mediated BACE1 expression reduces Alzheimer-associated phenotypes,"Deposition of amyloid β protein (Aβ) to form neuritic plaques in the brain is the pathological hallmark of Alzheimer’s disease (AD). Aβ is generated from sequential cleavages of the β-amyloid precursor protein (APP) by the β- and γ-secretases, and β-site APP-cleaving enzyme 1 (BACE1) is the β-secretase essential for Aβ generation. Previous studies have indicated that glycogen synthase kinase 3 (GSK3) may play a role in APP processing by modulating γ-secretase activity, thereby facilitating Aβ production. There are two highly conserved isoforms of GSK3: GSK3α and GSK3β. We now report that specific inhibition of GSK3β, but not GSK3α, reduced BACE1-mediated cleavage of APP and Aβ production by decreasing BACE1 gene transcription and expression. The regulation of BACE1 gene expression by GSK3β was dependent on NF-κB signaling. Inhibition of GSK3 signaling markedly reduced Aβ deposition and neuritic plaque formation, and rescued memory deficits in the double transgenic AD model mice. These data provide evidence for regulation of BACE1 expression and AD pathogenesis by GSK3β and that inhibition of GSK3 signaling can reduce Aβ neuropathology and alleviate memory deficits in AD model mice. Our study suggests that interventions that specifically target the β-isoform of GSK3 may be a safe and effective approach for treating AD.",https://doi.org/10.1172/jci64516,0
CLC‐3 deficiency leads to phenotypes similar to human neuronal ceroid lipofuscinosis,"Abstract Background : CLC‐3 is a member of the CLC chloride channel family and is widely expressed in mammalian tissues. To determine the physiological role of CLC‐3, we generated CLC‐3‐deficient mice ( Clcn3 –/– ) by targeted gene disruption. Results : Together with developmental retardation and higher mortality, the Clcn3 –/– mice showed neurological manifestations such as blindness, motor coordination deficit, and spontaneous hyperlocomotion. In histological analysis, the Clcn3 –/– mice showed a pattern of progressive degeneration of the retina, hippocampus and ileal mucosa, which resembled the phenotype observed in cathepsin D knockout mice. The defect of cathepsin D results in a lysosomal accumulation of ceroid lipofuscin containing the mitochondrial F1F0 ATPase subunit c. In immunohistochemistry and Western blot analysis, we found that the subunit c was heavily accumulated in the lysosome of Clcn3 –/– mice. Furthermore, we detected an elevation in the endosomal pH of the Clcn3 –/– mice. Conclusions : These results indicated that the neurodegeneration observed in the Clcn3 –/– mice was caused by an abnormality in the machinery which degrades the cellular protein and was associated with the phenotype of neuronal ceroid lipofuscinosis (NCL). The elevated endosomal pH could be an important factor in the pathogenesis of NCL.",https://doi.org/10.1046/j.1365-2443.2002.00539.x,0
Ecological and evolutionary determinants of a key plant functional trait: wood density and its community‐wide variation across latitude and elevation,"Wood density is an important trait in trees indicative of their life history and mechanical and physiological strategies. The following examines the evolutionary ecology of wood density using a large database for seed plants. In particular, we focused on the geographic and phylogenetic variation in wood density for both gymnosperms and angiosperms. A phylogenetic supertree was constructed for over 4600 taxa, allowing for comprehensive analyses of divergences across the seed plant phylogeny. Community‐wide means and variances for wood densities were quantified for 171 standardized forest communities. Wood density was generally highly conserved across the entire seed plant phylogeny, yet large divergences were found within the rosid clade. Geographic and community variation in wood density, however, was significantly lower in temperate and high elevation communities, dominated by gymnosperms, than in tropical lowland communities, dominated by angiosperms, suggesting an increase in trait and, to some extent, clade filtering with latitude and elevation. Together, our results support the notion that both biotic and abiotic forces have been important in the evolution of wood density as well as in controlling the observed trait mean and variance across geographic gradients.",https://doi.org/10.3732/ajb.94.3.451,0
Correlation between disease phenotype and genetic heterogeneity in rheumatoid arthritis.,"RA is a heterogeneous group of disorders characterized by variations in clinical manifestations, disease course, and probably response to therapeutic interventions. We have addressed the question whether genetically and potentially etiologically more homogeneous subgroups of RA patients can be defined based upon the expression of the RA-linked sequence motif in the third hypervariable region of the HLA-DRB1 gene. Genetic comparison of patients classified upon clinical manifestation and disease course demonstrated that patients with mild disease were genetically distinct from those progressing to severe and destructive disease. Specifically, rheumatoid factor (RF) negative patients preferentially expressed RA-linked HLA-DRB1 alleles with an arginine substitution in position 71, whereas the alleles with a lysine substitution in position 71 accumulated in RF+ patients. RF- patients were further subdivided based on clinical markers (time of onset of erosive disease and requirement for aggressive therapy). Clinical heterogeneity correlated with genetic heterogeneity. Patients with early erosive disease and patients requiring aggressive therapy frequently typed HLA-DRB1*04+. Patients with late erosive/nonerosive disease or a benign disease course manageable with nonaggressive treatment preferentially expressed HLA-DRB1*01 or lacked an RA-linked haplotype. These data indicate that the heterogeneity of RA reflects genetic differences. Sequence variations within the disease-linked sequence motif, as well as polymorphisms surrounding the candidate genetic element, affect pattern, course, and treatment response of RA. Amino acid position 71 in the HLA-DRB1 gene has a unique role, the understanding of which may provide important clues to disease etiology.",https://doi.org/10.1172/jci117900,0
Characterization of Putative Stem Cell Phenotype in Human Limbal Epithelia,"This study evaluated proposed molecular markers related to stem cell (SC) properties with the intention of characterizing a putative SC phenotype in human limbal epithelia. Human corneal and limbal tissues were cut in the vertical and horizontal meridians for histology, transmission electron microscopy (TEM), and immunostaining. Semiquantitative reverse transcriptase‐polymerase chain reaction (RT‐PCR) and in situ hybridization were used to evaluate gene expression. TEM showed that the limbal basal cells were small primitive cells. Immunostaining disclosed that p63, ABCG2 and integrin α9 were primarily expressed by the basal epithelial cells of limbus. Antibodies against integrin β1, epidermal growth factor receptor (EGFR), K19, enolase‐α, and CD71 stained the basal cells of the limbus more brightly than the suprabasal epithelia. Integrin α6, nestin, E‐cadherin and connexin 43 did not stain the limbal basal cells, but the suprabasal epithelia of the cornea and limbus showed strong immunoreactivity. K3 and involucrin stained only corneal and limbal superficial cells. RT‐PCR showed higher levels of p63, ABCG2 and integrin α9 mRNA, but lower levels of K3, K12 and connexin 43 expressed in the limbal epithelia than the corneal epithelia. In situ hybridization showed that p63 transcripts were located in basal layer of the limbal epithelium. This work suggests that the basal epithelial cells of the limbus are p63, ABCG2 and integrin α9 positive, and nestin, E‐cadherin, connexin 43, involucrin, K3, and K12 negative, with relatively higher expression of integrin β1, EGFR, K19, and enolase‐α. This putative SC phenotype may facilitate the identification and isolation of limbal epithelial SCs.",https://doi.org/10.1634/stemcells.22-3-355,0
"Chronotype: a review of the advances, limits and applicability of the main instruments used in the literature to assess human phenotype","The study of circadian typology differences has increased in the last few years. As a result, new instruments have been developed to estimate the individual circadian phase of temporal human behavior, also referred as chronotype. The current review was conducted to evaluate the differences among the questionnaires most frequently used to assess chronotype: the Morningness-Eveningness Questionnaire (MEQ), the Composite Scale of Morningness (CSM), and the Munich Chronotype Questionnaire (MCTQ). Each instrument evaluates a different aspect of chronotype. MEQ is considered to evaluate the phase preferences of individual behavior over a 24-hour day, while MCTQ measures the phase of sleep positions for both free and work days. CSM is similar to MEQ, but is more sensitive to measure shift work. The concept of chronotype has been used to refer to phase positions or phase preferences in the literature reviewed. Most of the time this is a consequence of different interpretations: it is not clear whether phase preferences are a direct manifestation of the individual's internal clock or a result of external cues, e.g., social interaction (including the alarm clock). Also, phase preferences are not uniform throughout life. Therefore, a single assessment, not taking age into consideration, will not accurately describe the sample. We suggest that MCTQ is the best instrument for investigators dealing with desynchronization and as an instrument for sleep phase. Conversely, if the goal is to assess characteristics that change under specific situations - chronotype -, the MEQ should be used.",https://doi.org/10.1590/s2237-60892013000100002,0
Studies of familial type III hyperlipoproteinemia using as a genetic marker the apoE phenotype E2/2,"Clinical symptoms, lipoprotein patterns, and apoE phenotypes were determined in 17 individuals with type 111 hyperlipoproteinemia (type 111 HLP) and in their relatives and spouses.The apoE phenotype E2/2 occurred in 15 type 111 HLP probands (88%) and the apoE phenotype E4/2 was found in 2 probands.In each of the families studied, the apoE phenotype inheritance was compatible with a model we previously proposed in which apoE is determined at a single genetic locus with three common alleles.The apoE phenotypes E4/4, E3/3, and E2/2 represent homozygosity for the apoE alleles €4, €3, and €2, respectively, whereas the apoE phenotypes E4/3, E3/2, and E4/2 represent heterozygosity for the apoE alleles c4/e3, <3/e2, and ~4/c2, respectively.Plasma lipids in 69 relatives of type 111 HLP probands were analyzed by apoE phenotype and revealed no significant differences between phenotypes in the levels of cholesterol, triglyceride, or HDL cholesterol.However, there were differences between the apoE phenotypes in LDL cholesterol levels (P = 0.01) and in the ratio of VLDL cholesterol/total triglyceride (ratio) (P < 0.01).Relatives with the apoE phenotype E2/2 had the Abbreviations: type 111 HLP, type 111 hyperlipoproteinemia; VLDL, very low density lipoprotein; LDL, low density lipoprotein; HDL, high density lipoprotein.",https://doi.org/10.1016/s0022-2275(20)38060-3,0
