Index,Title,DOI,Points
0,Higher-order interactions among coinfecting parasites and a microbial mutualist impact disease progression,https://doi.org/10.1101/2021.03.25.437101,94
2,Tree seedling shade tolerance arises from interactions with microbes and is mediated by functional traits,https://doi.org/10.3389/fevo.2023.1224540,91
2,Moving beyond linear food chains: trait-mediated indirect interactions in a rocky intertidal food web,https://doi.org/10.1098/rspb.2016.2590,90
0,Beyond direct neighbourhood effects: higher-order interactions improve modelling and predicting tree survival and growth,https://doi.org/10.1093/nsr/nwaa244,89
2,Functional trait mediation of plant-animal interactions :effects of defaunation on plant functional diversity in aneotropical forest,,88
3,The Toxicity and Polymorphism of β-Amyloid Oligomers,https://doi.org/10.3390/ijms21124477,88
2,Insect predators affect plant resistance via density‐ and trait‐mediated indirect interactions,https://doi.org/10.1111/j.1461-0248.2005.00880.x,85
2,Behavioral responses to environmental change alter direct and indirect trait-mediated interactions,https://doi.org/10.1139/z06-076,83
2,When directional selection reduces geographic variation in traits mediating species interactions,https://doi.org/10.1002/ece3.518,80
2,Variability in functional traits mediates plant interactions along stress gradients,https://doi.org/10.1111/1365-2745.12062,78
3,Human ACE2 receptor polymorphisms and altered susceptibility to SARS-CoV-2,https://doi.org/10.1038/s42003-021-02030-3,74
2,Parasitism in a community context: trait‐mediated interactions with competition and predation,https://doi.org/10.1890/09-1697.1,72
2,Keep Your Eggs Away: Ant Presence Reduces Ceratitis capitata Oviposition Behaviour through Trait-Mediated Indirect Interactions,https://doi.org/10.3390/insects14060532,70
2,Temporal variation in positive and negative interactions between marsh herbivores mediated by changes in plant traits,https://doi.org/10.3354/meps13187,70
2,Plant functional traits mediate above- and belowground species interactions in ecological communities,,70
2,Trait-mediated indirect interactions of ant shape on the attack of caterpillars and fruits,https://doi.org/10.1098/rsbl.2016.0401,69
0,Defining Higher-Order Interactions in Synthetic Ecology: Lessons from Physics and Quantitative Genetics,https://doi.org/10.1016/j.cels.2019.11.009,67
2,Trait‐mediated interactions and lifetime fitness of the invasive plant Centaurea solstitialis,https://doi.org/10.1890/09-0855.1,67
2,Different crab species influence feeding of the snail <i>Nucella lapillus</i> through trait‐mediated indirect interactions,https://doi.org/10.1111/j.1439-0485.2008.00227.x,67
3,Differentiation of Bartonella-like isolates at the species level by PCR-restriction fragment length polymorphism in the citrate synthase gene,https://doi.org/10.1128/jcm.33.7.1797-1803.1995,66
3,Improving accuracy of genomic predictions within and between dairy cattle breeds with imputed high-density single nucleotide polymorphism panels,https://doi.org/10.3168/jds.2011-5019,66
3,All males are not created equal: Fertility differences depend on gamete recognition polymorphisms in sea urchins,https://doi.org/10.1073/pnas.96.22.12632,65
2,Season and herbivore defence trait mediate tri‐trophic interactions in tropical rainforest,https://doi.org/10.1111/1365-2656.13865,64
2,Cascading trait‐mediated interactions induced by ant pheromones,https://doi.org/10.1002/ece3.322,63
2,Trait-mediated indirect interactions among residents of rocky shore tidepools,https://doi.org/10.3354/meps11766,63
0,The existence and strength of higher order interactions is sensitive to environmental context,https://doi.org/10.1002/ecy.4156,62
3,A New Functional CYP3A4 Intron 6 Polymorphism Significantly Affects Tacrolimus Pharmacokinetics in Kidney Transplant Recipients,https://doi.org/10.1373/clinchem.2011.165613,62
2,Trait‐mediated indirect interactions: Moose browsing increases sawfly fecundity through plant‐induced responses,https://doi.org/10.1002/ece3.5581,61
3,Genome Sequence of <i>Staphylococcus aureus</i> Strain Newman and Comparative Analysis of Staphylococcal Genomes: Polymorphism and Evolution of Two Major Pathogenicity Islands,https://doi.org/10.1128/jb.01000-07,61
2,Mistletoe generates non‐trophic and trait‐mediated indirect interactions through a shared host of herbivore consumers,https://doi.org/10.1002/ecs2.2564,58
0,Competition Between Aquatic Insects and Vertebrates: Interaction Strength and Higher Order Interactions,https://doi.org/10.2307/1941637,55
0,Higher-Order Interactions and Indirect Effects: A Resolution Using Laboratory Drosophila Communities,https://doi.org/10.1086/285271,55
0,VERTEBRATES: INTERACTION STRENGTH AND HIGHER ORDER INTERACTIONS1,,55
2,Pollinator biological traits and ecological interactions mediate the impacts of mosquito-targeting malathion application,https://doi.org/10.1038/s41598-022-20823-2,47
3,PrP gene polymorphism and natural scrapie in Icelandic sheep,https://doi.org/10.1099/0022-1317-80-9-2527,47
2,Trait‐mediated indirect interactions in a marine intertidal system as quantified by functional responses,https://doi.org/10.1111/j.1600-0706.2013.00472.x,46
3,Innate Immune Gene Polymorphisms in Tuberculosis,https://doi.org/10.1128/iai.00443-12,43
3,Interleukin-10 promoter polymorphisms in Southern Chinese patients with systemic lupus erythematosus,https://doi.org/10.1002/1529-0131(199806)41:6<1090::aid-art16>3.0.co;2-6,42
3,"Excess amino acid polymorphism in mitochondrial DNA: contrasts among genes from Drosophila, mice, and humans",https://doi.org/10.1093/oxfordjournals.molbev.a025634,41
3,Dihydropteroate Synthase Polymorphisms in Pneumocystis carinii,https://doi.org/10.1093/infdis/175.2.482,41
3,Genome-Wide Patterns of Nucleotide Polymorphism in Domesticated Rice,https://doi.org/10.1371/journal.pgen.0030163,40
2,Mutualistic cleaner fish initiate trait‐mediated indirect interactions by influencing the behaviour of coral predators,https://doi.org/10.1111/j.1365-2656.2011.01943.x,39
3,Association between polymorphisms at the human IL‐10 locus and systemic lupus erythematosus,https://doi.org/10.1111/j.1399-0039.1997.tb02812.x,39
3,"Identification and Assessment Of Known And Novel Human Papillomaviruses by Polymerase Chain Reaction Amplification, Restriction Fragment Length Polymorphisms, Nucleotide Sequence, and Phylogenetic Algorithms",https://doi.org/10.1093/infdis/170.5.1077,36
3,Genetic Polymorphisms of the Human PNPLA3 Gene Are Strongly Associated with Severity of Non-Alcoholic Fatty Liver Disease in Japanese,https://doi.org/10.1371/journal.pone.0038322,36
3,Gene amplification and microsatellite polymorphism underlie a recent insect host shift,https://doi.org/10.1073/pnas.1314122110,35
3,A Catalog of Neutral and Deleterious Polymorphism in Yeast,https://doi.org/10.1371/journal.pgen.1000183,33
3,"Evaluation of single-nucleotide polymorphisms in CAPN1 for association with meat tenderness in cattle1,2",https://doi.org/10.2527/2002.80123077x,32
3,Flagellin gene typing of Campylobacter jejuni by restriction fragment length polymorphism analysis,https://doi.org/10.1128/jcm.31.6.1531-1536.1993,31
3,Apparent sources of the A genomes of wheats inferred from polymorphism in abundance and restriction fragment length of repeated nucleotide sequences,https://doi.org/10.1139/g88-115,31
3,The long and short of sperm polymorphisms in insects,https://doi.org/10.1017/s1464793101005851,31
3,<i>Drd4</i> gene polymorphisms are associated with personality variation in a passerine bird,https://doi.org/10.1098/rspb.2007.0337,31
0,The Chlamydia trachomatis PmpD adhesin forms higher order structures through disulphide-mediated covalent interactions,https://doi.org/10.1371/journal.pone.0198662,30
3,HLA and cytokine gene polymorphisms are independently associated with responses to hepatitis B vaccination,https://doi.org/10.1002/hep.20142,30
3,The adaptive significance of color polymorphism in two species of <i>Diaptomus</i> (Copepoda)1,https://doi.org/10.4319/lo.1979.24.1.0015,29
3,Impact of mating systems on patterns of sequence polymorphism in flowering plants,https://doi.org/10.1098/rspb.2006.3657,28
3,Polymorphism of the<i>N</i>-acetyltransferase 2 gene as a susceptibility risk factor for antituberculosis drug-induced hepatitis,https://doi.org/10.1053/jhep.2002.32102,28
3,Human ACE2 receptor polymorphisms predict SARS-CoV-2 susceptibility,https://doi.org/10.1101/2020.04.07.024752,28
3,Common Sequence Polymorphisms Shaping Genetic Diversity in<i>Arabidopsis thaliana</i>,https://doi.org/10.1126/science.1138632,27
3,A set of conserved PCR primers for the analysis of simple sequence repeat polymorphisms in chloroplast genomes of dicotyledonous angiosperms,https://doi.org/10.1139/gen-42-1-9,27
3,Association of cytochrome P450 1B1 (CYP1B1) polymorphism with steroid receptor status in breast cancer.,,27
3,Identification of ribosomal DNA polymorphisms among and within spores of the Glomales: application to studies on the genetic diversity of arbuscular mycorrhizal fungal communities,https://doi.org/10.1111/j.1469-8137.1995.tb01836.x,27
3,Genetic association of interleukin-21 polymorphisms with systemic lupus erythematosus,https://doi.org/10.1136/ard.2007.075424,27
2,Bifidobacterium breve UCC2003 surface exopolysaccharide production is a beneficial trait mediating commensal-host interaction through immune modulation and pathogen protection,https://doi.org/10.4161/gmic.20630,26
3,Pharmacokinetics of Citalopram in Relation to the Sparteine and the Mephenytoin Oxidation Polymorphisms,https://doi.org/10.1097/00007691-199302000-00002,26
3,"The distribution and inversion polymorphism of chromosomally recognized taxa of the Anopheles gambiae complex in Mali, West Africa.",,26
3,Differentiation of spotted fever group rickettsiae by sequencing and analysis of restriction fragment length polymorphism of PCR-amplified DNA of the gene encoding the protein rOmpA,https://doi.org/10.1128/jcm.34.9.2058-2065.1996,26
3,Polymorphisms of DNA repair gene XRCC1 in squamous cell carcinoma of the head and neck,https://doi.org/10.1093/carcin/20.11.2125,25
3,Multiple origins of cultivated grapevine (<i>Vitis vinifera</i> L. ssp. <i>sativa</i>) based on chloroplast DNA polymorphisms,https://doi.org/10.1111/j.1365-294x.2006.03049.x,25
3,Promoter Polymorphisms of Human Paraoxonase <i>PON1</i> Gene and Serum Paraoxonase Activities and Concentrations,https://doi.org/10.1161/01.atv.20.2.516,25
3,THE ROLE OF HERBIVORES IN THE MAINTENANCE OF A FLOWER COLOR POLYMORPHISM IN WILD RADISH,https://doi.org/10.1890/0012-9658(2003)084[1733:trohit]2.0.co;2,24
3,Linkage map of restriction fragment length polymorphism loci in rice.,https://doi.org/10.1270/jsbbs1951.41.665,24
3,Data from amplified fragment length polymorphism (AFLP) markers show indication of size homoplasy and of a relationship between degree of homoplasy and fragment size,https://doi.org/10.1046/j.0962-1083.2001.01415.x,23
3,Polymorphism in RANTES chemokine promoter affects HIV-1 disease progression,https://doi.org/10.1073/pnas.96.8.4581,23
3,PROTEIN POLYMORPHISM AND GENIC HETEROZYGOSITY IN TWO EUROPEAN SUBSPECIES OF THE HOUSE MOUSE,https://doi.org/10.1111/j.1558-5646.1969.tb03522.x,23
3,Typing of hepatitis C virus genomes by restriction fragment length polymorphism,https://doi.org/10.1099/0022-1317-72-9-2105,23
3,Natural polymorphism affecting learning and memory in <i>Drosophila</i>,https://doi.org/10.1073/pnas.0702923104,23
2,Prey state alters trait‐mediated indirect interactions in rocky tide pools,https://doi.org/10.1111/1365-2435.12628,22
3,The PTPN22 C1858T functional polymorphism and autoimmune diseases--a meta-analysis,https://doi.org/10.1093/rheumatology/kel170,22
3,"PREDATORS, INVISIBLE PREY, AND THE NATURE OF POLYMORPHISM IN THE CLADOCERA (CLASS CRUSTACEA)1",https://doi.org/10.4319/lo.1972.17.2.0171,21
3,"VEGF, FGF1, FGF2 and EGF gene polymorphisms and psoriatic arthritis",https://doi.org/10.1186/1471-2474-8-1,21
3,A Diet-Induced Developmental Polymorphism in a Caterpillar,https://doi.org/10.1126/science.243.4891.643,20
3,Enzyme Polymorphism and Genetic Population Structure in Escherichia coli and Shigella,https://doi.org/10.1099/00221287-129-9-2715,20
3,Single nucleotide polymorphism discovery in elite north american potato germplasm,https://doi.org/10.1186/1471-2164-12-302,20
3,The ABO blood group is a trans-species polymorphism in primates,https://doi.org/10.1073/pnas.1210603109,20
3,"1,135 Genomes Reveal the Global Pattern of Polymorphism in Arabidopsis thaliana",https://doi.org/10.1016/j.cell.2016.05.063,19
3,Strain and species identification by restriction fragment length polymorphisms in the ribosomal DNA repeat of Candida species,https://doi.org/10.1128/jb.169.4.1639-1643.1987,18
3,Autoimmunity and tuberculosis. Opposite association with TNF polymorphism.,,18
3,Hepatitis B virus genotype assignment using restriction fragment length polymorphism patterns,https://doi.org/10.1016/s0014-5793(99)00471-8,17
3,Population genetics of polymorphism and divergence.,https://doi.org/10.1093/genetics/132.4.1161,16
3,Single-nucleotide polymorphism in the human mu opioid receptor gene alters β-endorphin binding and activity: Possible implications for opiate addiction,https://doi.org/10.1073/pnas.95.16.9608,16
3,Genetic diversity and phylogeny of toxic cyanobacteria determined by DNA polymorphisms within the phycocyanin locus,https://doi.org/10.1128/aem.61.11.3875-3883.1995,16
3,"Haptoglobin polymorphism, iron metabolism and mortality in HIV infection",https://doi.org/10.1097/00002030-199809000-00010,16
3,Linkage and association of an interleukin 4 gene polymorphism with atopic dermatitis in Japanese families.,https://doi.org/10.1136/jmg.35.6.502,16
3,MICA Polymorphism Is Associated With Type 1 Diabetes in the Korean Population,https://doi.org/10.2337/diacare.24.1.33,16
3,An Amplified Fragment Length Polymorphism Map of the Silkworm,https://doi.org/10.1093/genetics/157.3.1277,16
3,Polymorphism in tumor necrosis factor genes associated with mucocutaneous leishmaniasis.,https://doi.org/10.1084/jem.182.5.1259,15
3,New insights into genetic susceptibility of COVID-19: an ACE2 and TMPRSS2 polymorphism analysis,https://doi.org/10.1186/s12916-020-01673-z,15
3,Functional annotation of a novel NFKB1 promoter polymorphism that increases risk for ulcerative colitis,https://doi.org/10.1093/hmg/ddh008,15
3,Genetic Polymorphism Among <i>Cryptosporidium parvum</i> Isolates: Evidence of Two Distinct Human Transmission Cycles,https://doi.org/10.3201/eid0304.970423,15
3,Polymerase Chain Reaction–Restriction Fragment Length Polymorphism Analysis: A Simple Method for Species Identification in Food,https://doi.org/10.1093/jaoac/78.6.1542,15
3,Polymorphisms in Chlamydia trachomatis tryptophan synthase genes differentiate between genital and ocular isolates,https://doi.org/10.1172/jci17993,15
3,Molecular characterization of ribosomal DNA polymorphisms discriminating among chromosomal forms of <i>Anopheles gambiae</i> s.s.,https://doi.org/10.1046/j.1365-2583.2001.00236.x,15
3,Molecular characterisation by PCR-restriction fragment length polymorphism of TEM Î²-lactamases,https://doi.org/10.1111/j.1574-6968.1995.tb07938.x,15
2,Plant trait-mediated interactions between early and late herbivores on common figwort (<i>Scrophularia nodosa</i>) and effects on plant seed set,https://doi.org/10.2980/18-4-3422,14
2,Diversity and evolution of a trait mediating ant–plant interactions: insights from extrafloral nectaries in Senna (Leguminosae),https://doi.org/10.1093/aob/mcs226,14
3,Large-Scale Identification of Single-Feature Polymorphisms in Complex Genomes,https://doi.org/10.1101/gr.541303,14
3,Genetic polymorphisms and esophageal cancer risk,https://doi.org/10.1002/ijc.23044,14
3,Single‐nucleotide polymorphism characterization in species with limited available sequence information: high nucleotide diversity revealed in the avian genome,https://doi.org/10.1046/j.0962-1083.2001.01452.x,14
3,The human serum paraoxonase—Polymorphism and specificity,https://doi.org/10.1080/02772248809357310,14
3,Genetic association of vitamin D receptor polymorphisms with primary biliary cirrhosis and autoimmune hepatitis,https://doi.org/10.1053/jhep.2002.30084,14
3,Scanning the genome for gene single nucleotide polymorphisms involved in adaptive population differentiation in white spruce,https://doi.org/10.1111/j.1365-294x.2008.03840.x,14
3,"A Widespread Chromosomal Inversion Polymorphism Contributes to a Major Life-History Transition, Local Adaptation, and Reproductive Isolation",https://doi.org/10.1371/journal.pbio.1000500,13
3,Molecular evolution and diversity in Bacillus anthracis as detected by amplified fragment length polymorphism markers,https://doi.org/10.1128/jb.179.3.818-824.1997,13
3,Sequencing of the genus Arabidopsis identifies a complex history of nonbifurcating speciation and abundant trans-specific polymorphism,https://doi.org/10.1038/ng.3617,13
3,Prion protein gene polymorphisms in natural goat scrapie,https://doi.org/10.1099/0022-1317-83-3-713,13
3,Polymorphisms in human CYP2C8 decrease metabolism of the anticancer drug paclitaxel and arachidonic acid,https://doi.org/10.1097/00008571-200110000-00006,12
3,Restriction Fragment Length Polymorphism Linkage Map of Arabidopsis thaliana.,https://doi.org/10.1105/tpc.1.7.699,12
3,Amplified Fragment Length Polymorphism Markers Linked to a Major Quantitative Trait Locus Controlling Scab Resistance in Wheat,https://doi.org/10.1094/phyto.1999.89.4.343,12
3,Negative frequency-dependent selection maintains a dramatic flower color polymorphism in the rewardless orchid <i>Dactylorhiza sambucina</i> (L.) Soò,https://doi.org/10.1073/pnas.111162598,12
3,Functional FAS promoter polymorphisms are associated with increased risk of acute myeloid leukemia.,,12
3,Single-Nucleotide Polymorphisms in Soybean,https://doi.org/10.1093/genetics/163.3.1123,11
3,Polymorphisms in the methylenetetrahydrofolate reductase gene are associated with susceptibility to acute leukemia in adults,https://doi.org/10.1073/pnas.96.22.12810,11
3,PROTEIN POLYMORPHISM AND GENIC HETEROZYGOSITY IN A WILD POPULATION OF THE HOUSE MOUSE (<i>MUS MUSCULUS</i>),https://doi.org/10.1093/genetics/63.3.653,11
3,Single nucleotide polymorphism (SNP) discovery in the polyploid <i>Brassica napus</i> using Solexa transcriptome sequencing,https://doi.org/10.1111/j.1467-7652.2008.00396.x,11
3,The Human Angiotensin II Type 1 Receptor +1166 A/C Polymorphism Attenuates MicroRNA-155 Binding,https://doi.org/10.1074/jbc.m701050200,11
3,Provitamin A Accumulation in Cassava (<i>Manihot esculenta</i>) Roots Driven by a Single Nucleotide Polymorphism in a Phytoene Synthase Gene,https://doi.org/10.1105/tpc.110.077560,11
3,A single domestication for potato based on multilocus amplified fragment length polymorphism genotyping,https://doi.org/10.1073/pnas.0507400102,10
3,Variations of colour vision in a New World primate can be explained by polymorphism of retinal photopigments,https://doi.org/10.1098/rspb.1984.0071,10
3,Construction of a restriction fragment length polymorphism map for barley (<i>Hordeum vulgare</i>),https://doi.org/10.1139/g91-066,10
3,Multiple parasites are driving major histocompatibility complex polymorphism in the wild,https://doi.org/10.1046/j.1420-9101.2003.00519.x,10
3,Spine deficiency and polymorphism in a population of <i>Gasterosteus aculeatus</i>: an adaptation to predators?,https://doi.org/10.1139/z80-173,10
3,CTLA-4 Gene Polymorphism at Position 49 in Exon 1 Reduces the Inhibitory Function of CTLA-4 and Contributes to the Pathogenesis of Graves’ Disease,https://doi.org/10.4049/jimmunol.165.11.6606,10
3,No Influence of the MDR-1 C3435T Polymorphism or a CYP3A4 Promoter Polymorphism (CYP3A4-V Allele) on Dose-adjusted Cyclosporin A Trough Concentrations or Rejection Incidence in Stable Renal Transplant Recipients,https://doi.org/10.1093/clinchem/47.6.1048,10
3,Genome-Wide Detection of Polymorphisms at Nucleotide Resolution with a Single DNA Microarray,https://doi.org/10.1126/science.1123726,10
3,Vitamin D receptor gene polymorphism: association with Crohn's disease susceptibility,https://doi.org/10.1136/gut.47.2.211,10
3,Discrimination of all Members of the Anopheles punctulatus Complex by Polymerase Chain Reaction-Restriction Fragment Length Polymorphism Analysis,https://doi.org/10.4269/ajtmh.1995.53.478,10
3,Ecological and evolutionary consequences of the trophic polymorphism in Cichlasoma citrinellum (Pisces: Cichlidae),https://doi.org/10.1111/j.1095-8312.1990.tb00517.x,10
3,Polymorphism and divergence in the Mst26A male accessory gland gene region in Drosophila.,https://doi.org/10.1093/genetics/132.3.755,10
3,Relationship Between Virulence Variation and DNA Polymorphism in<i>Puccinia striiformis</i>,https://doi.org/10.1094/phyto-83-1489,10
3,Microsatellite Polymorphism in Natural Populations of the Wild Plant <i>Arabidopsis thaliana</i>,https://doi.org/10.1093/genetics/146.4.1441,10
3,Sequence Polymorphism in Polyploid Wheat and Their D-Genome Diploid Ancestor,https://doi.org/10.1534/genetics.103.016303,10
3,The Arg753Gln polymorphism of the human Toll-like receptor 2 gene in tuberculosis disease,https://doi.org/10.1183/09031936.03.00061703,9
3,Development of Genome-Wide DNA Polymorphism Database for Map-Based Cloning of Rice Genes ,https://doi.org/10.1104/pp.103.038463,9
3,Polymorphisms in Genes of Nucleotide and Base Excision Repair: Risk and Prognosis of Colorectal Cancer,https://doi.org/10.1158/1078-0432.ccr-05-1363,9
3,The mephenytoin oxidation polymorphism is partially responsible for the N-demethylation of imipramine,https://doi.org/10.1038/clpt.1991.4,9
3,Pharmacokinetics of sertraline in relation to genetic polymorphism of <i>CYP2C19</i>,https://doi.org/10.1067/mcp.2001.116513,9
3,AVPR1a and SLC6A4 Gene Polymorphisms Are Associated with Creative Dance Performance,https://doi.org/10.1371/journal.pgen.0010042,8
3,Association of an ERCC1 polymorphism with adult-onset glioma.,,8
3,Restricted structural gene polymorphism in the <i>Mycobacterium tuberculosis</i> complex indicates evolutionarily recent global dissemination,https://doi.org/10.1073/pnas.94.18.9869,7
3,"DNA polymorphisms at the <i>BCL11A</i> , <i>HBS1L-MYB</i> , and β- <i>globin</i> loci associate with fetal hemoglobin levels and pain crises in sickle cell disease",https://doi.org/10.1073/pnas.0804799105,7
3,Allozyme polymorphisms detected in mature needle tissue of ponderosa pine,https://doi.org/10.1093/oxfordjournals.jhered.a109220,6
3,Polymorphism and speciation in Arctic charr,https://doi.org/10.1111/j.1095-8649.2001.tb00518.x,6
3,A Novel Polymorphism in the Toll-Like Receptor 2 Gene and Its Potential Association with Staphylococcal Infection,https://doi.org/10.1128/iai.68.11.6398-6401.2000,6
3,"Aphid Ecology: Life Cycles, Polymorphism, and Population Regulation",https://doi.org/10.1146/annurev.es.08.110177.001553,6
3,The Fasciola hepatica genome: gene duplication and polymorphism reveals adaptation to the host environment and the capacity for rapid evolution,https://doi.org/10.1186/s13059-015-0632-2,6
3,A common human TLR1 polymorphism regulates the innate immune response to lipopeptides,https://doi.org/10.1002/eji.200737034,6
3,Level of polymorphism and genetic mapping of AFLP markers in rice,https://doi.org/10.1139/g96-121,5
3,A two–stage model for Cepaea polymorphism,https://doi.org/10.1098/rstb.1998.0311,5
3,"Immunological and molecular polymorphisms of OspC, an immunodominant major outer surface protein of Borrelia burgdorferi",https://doi.org/10.1128/iai.61.5.2182-2191.1993,5
3,WING POLYMORPHISM IN APHIDS II. INTERACTION BETWEEN APHIDS,https://doi.org/10.1111/j.1570-7458.1965.tb02342.x,5
3,Single nucleotide polymorphism (SNP) discovery in mammals: a targeted‐gene approach,https://doi.org/10.1111/j.1365-294x.2004.02159.x,5
3,Phylogenetic variation and polymorphism at the Toll-like receptor 4 locus (TLR4),https://doi.org/10.1186/gb-2000-1-1-research002,5
3,A Polymorphism in the Glucocorticoid Receptor Gene May Be Associated with an Increased Sensitivity to Glucocorticoids<i>in Vivo</i><sup>1</sup>,https://doi.org/10.1210/jcem.83.1.4490,4
3,Homozygous Deletions and Chromosome Amplifications in Human Lung Carcinomas Revealed by Single Nucleotide Polymorphism Array Analysis,https://doi.org/10.1158/0008-5472.can-04-4603,4
3,Structural and Transcriptional Analysis of the Self-Incompatibility Locus of Almond: Identification of a Pollen-Expressed F-Box Gene with Haplotype-Specific Polymorphism,https://doi.org/10.1105/tpc.009290,4
3,Dietary intake of isothiocyanates: evidence of a joint effect with glutathione S-transferase polymorphisms in lung cancer risk.,,4
3,Trophic Polymorphism in the Pumpkinseed Sunfish (Lepomis gibbosus Linnaeus): Effects of Environment on Ontogeny,https://doi.org/10.2307/2389554,4
3,A “Minimal Essential Mhc” and an “Unrecognized Mhc”: Two Extremes in Selection for Polymorphism,https://doi.org/10.1111/j.1600-065x.1995.tb00670.x,3
3,Single nucleotide polymorphisms and outcome in docetaxel–cisplatin-treated advanced non-small-cell lung cancer,https://doi.org/10.1093/annonc/mdh319,3
3,Association of the P-Glycoprotein Transporter MDR1 C3435T Polymorphism with the Susceptibility to Renal Epithelial Tumors,https://doi.org/10.1097/01.asn.0000019412.87412.bc,3
3,Variation of hepatic glucuronidation: Novel functional polymorphisms of the UDP-glucuronosyltransferase UGT1A4,https://doi.org/10.1002/hep.20131,3
3,Cooperative Influence of Genetic Polymorphisms on Interleukin 6 Transcriptional Regulation,https://doi.org/10.1074/jbc.m000379200,2
3,Investigation of an interleukin-4 promoter polymorphism for associations with asthma and atopy.,https://doi.org/10.1136/jmg.33.8.689,2
3,Single Nucleotide Polymorphisms in Genes Associated with Isoniazid Resistance in <i>Mycobacterium tuberculosis</i>,https://doi.org/10.1128/aac.47.4.1241-1250.2003,2
3,A M55V Polymorphism in a Novel SUMO Gene (SUMO-4) Differentially Activates Heat Shock Transcription Factors and Is Associated with Susceptibility to Type I Diabetes Mellitus,https://doi.org/10.1074/jbc.m402273200,2
3,Clinical relevance of genetic polymorphisms in the human CYP2C subfamily,https://doi.org/10.1046/j.0306-5251.2001.01499.x,1
3,Dealing with the Impact of Ritonavir Polymorphs on the Late Stages of Bulk Drug Process Development,https://doi.org/10.1021/op000023y,1
3,Genetic polymorphisms in DNA repair genes and risk of lung cancer,https://doi.org/10.1093/carcin/22.4.593,1
3,A Glu-496 to Ala Polymorphism Leads to Loss of Function of the Human P2X7 Receptor,https://doi.org/10.1074/jbc.m010353200,1
3,"A C4887A polymorphism in exon 7 of human CYP1A1: population frequency, mutation linkages, and impact on lung cancer susceptibility.",,1
3,DNA Methylation Polymorphisms Precede Any Histological Sign of Atherosclerosis in Mice Lacking Apolipoprotein E,https://doi.org/10.1074/jbc.m403618200,1
3,Effect of the androgen receptor CAG repeat polymorphism on transcriptional activity: specificity in prostate and non-prostate cell lines,https://doi.org/10.1677/jme.0.0250085,1
0,Higher Order Interactions in Ecological Communities: What Are They and How Can They be Detected?,https://doi.org/10.2307/1939614,0
0,Higher-Order Interactions Characterized in Cortical Activity,https://doi.org/10.1523/jneurosci.3127-11.2011,0
0,Markov Random Fields with Higher‐order Interactions,https://doi.org/10.1111/1467-9469.00113,0
0,Higher order interactions in complex networks of phase oscillators promote abrupt synchronization switching,https://doi.org/10.1038/s42005-020-00485-0,0
